year,stock,capture,taxa,effort
1951,Anodontostoma_chacunda,0.001,Anodontostoma_chacunda,165533366.6
1951,Mugilidae,3400,Mugilidae,165533366.6
1951,Pellona_ditchela,0.001,Pellona_ditchela,165533366.6
1951,Tenualosa_toli,0.001,Tenualosa_toli,165533366.6
1952,Anodontostoma_chacunda,0.001,Anodontostoma_chacunda,162564880.2
1952,Mugilidae,2100,Mugilidae,162564880.2
1952,Pellona_ditchela,0.001,Pellona_ditchela,162564880.2
1952,Tenualosa_toli,0.001,Tenualosa_toli,162564880.2
1953,Anodontostoma_chacunda,0.001,Anodontostoma_chacunda,199857053.1
1953,Mugilidae,2500,Mugilidae,199857053.1
1953,Pellona_ditchela,0.001,Pellona_ditchela,199857053.1
1953,Tenualosa_toli,0.001,Tenualosa_toli,199857053.1
1954,Anodontostoma_chacunda,0.001,Anodontostoma_chacunda,206451678.9
1954,Mugilidae,2400,Mugilidae,206451678.9
1954,Pellona_ditchela,0.001,Pellona_ditchela,206451678.9
1954,Tenualosa_toli,0.001,Tenualosa_toli,206451678.9
1955,Anodontostoma_chacunda,0.001,Anodontostoma_chacunda,182172825.9
1955,Mugilidae,2900,Mugilidae,182172825.9
1955,Pellona_ditchela,0.001,Pellona_ditchela,182172825.9
1955,Tenualosa_toli,0.001,Tenualosa_toli,182172825.9
1956,Anodontostoma_chacunda,0.001,Anodontostoma_chacunda,192835019.2
1956,Mugilidae,2400,Mugilidae,192835019.2
1956,Pellona_ditchela,0.001,Pellona_ditchela,192835019.2
1956,Tenualosa_toli,0.001,Tenualosa_toli,192835019.2
1957,Anodontostoma_chacunda,0.001,Anodontostoma_chacunda,256323154.6
1957,Mugilidae,2700,Mugilidae,256323154.6
1957,Pellona_ditchela,0.001,Pellona_ditchela,256323154.6
1957,Tenualosa_toli,0.001,Tenualosa_toli,256323154.6
1958,Anodontostoma_chacunda,0.001,Anodontostoma_chacunda,229344736.7
1958,Mugilidae,3100,Mugilidae,229344736.7
1958,Pellona_ditchela,0.001,Pellona_ditchela,229344736.7
1958,Tenualosa_toli,0.001,Tenualosa_toli,229344736.7
1959,Anodontostoma_chacunda,0.001,Anodontostoma_chacunda,312107996.7
1959,Mugilidae,3500,Mugilidae,312107996.7
1959,Pellona_ditchela,0.001,Pellona_ditchela,312107996.7
1959,Tenualosa_toli,0.001,Tenualosa_toli,312107996.7
1960,Anodontostoma_chacunda,0.001,Anodontostoma_chacunda,288793467.6
1960,Mugilidae,3700,Mugilidae,288793467.6
1960,Pellona_ditchela,0.001,Pellona_ditchela,288793467.6
1960,Tenualosa_toli,0.001,Tenualosa_toli,288793467.6
1961,Anodontostoma_chacunda,0.001,Anodontostoma_chacunda,270805835.7
1961,Mugilidae,3700,Mugilidae,270805835.7
1961,Pellona_ditchela,0.001,Pellona_ditchela,270805835.7
1961,Tenualosa_toli,0.001,Tenualosa_toli,270805835.7
